1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0211954217888936,0.02345247491261698,0.024281984334203654,0.061095036723792566,0.02413526071244192,0.027463610082669777,0.014252547401006063,0.023279140719689055,Individualism
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015543309311855306,0.0011275228323373548,0.00835509138381201,0.0005564210994880925,0.0,0.0017497590911396256,0.001160840964787824,0.001170226104400886,The 'free rider' excuse
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011304224954076585,0.0009020182658698838,0.0002610966057441253,0.0024482528377476075,0.0009034589571502323,0.001267941370391033,0.0008383851412356508,0.0011284323149579971,Whataboutism
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000423908435777872,0.0007892659826361484,0.001566579634464752,0.0015579790785666592,0.0006453278265358802,0.0006086118577876959,0.0009028763059460854,0.0008776695783006645,"All talk, little action"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008054260279779568,0.010711466907204871,0.0018276762402088772,0.007010905853549966,0.0011615900877645843,0.007379418775675813,0.012962724106797368,0.0085677268357922,Fossil fuel solutionism
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018369365550374452,0.0005637614161686774,0.0020887728459530026,0.003227242377030937,0.0016778523489932886,0.002333012121519501,0.003547014059073907,0.003510678313202658,"No sticks, just carrots"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009891196834817012,0.0009020182658698838,0.000783289817232376,0.0016692632984642779,0.0012906556530717604,0.0007607648222346198,0.0008383851412356508,0.0008358757888577757,Technological optimism
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00211954217888936,0.0038335776299470064,0.010966057441253264,0.003227242377030937,0.002581311306143521,0.006491859816402089,0.004191925706178254,0.0039704099970744346,Appeal to well-being
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000423908435777872,0.0012402751155710903,0.0002610966057441253,0.00022256843979523704,0.0002581311306143521,0.00035502358370948926,0.00025796465884173866,0.0002925565261002215,Policy perfectionism
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019782393669634025,0.0015785319652722968,0.003394255874673629,0.0006677053193857111,0.0015487867836861124,0.005984683268245677,0.001354314458919128,0.002967359050445104,Appeal to social justice
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00011275228323373548,0.0,0.00033385265969285556,0.0002581311306143521,0.00015215296444692398,0.00012898232942086933,0.0002507627366573327,Change is impossible
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00028260562385191464,0.00011275228323373548,0.0002610966057441253,0.0010015579790785666,0.00012906556530717606,0.0006086118577876959,0.00025796465884173866,0.0002507627366573327,Doomism
